Item,Category,Serving Size (g),Calories,Cal. From Fat,Total Fat (g),Sat. Fat (g),Trans Fat (g)*,Chol. (mg),Sodium (mg),Carbohydrate(g),Dietary Fiber (g),Sugars (g),Protein(g),Vitamin A % DV,Vitamin C % DV,Calcium % DV,Iron % DV
"Honey Mustard Sauce, Fat Free**",Condiments,21,30,0,0,0,0,0,120,7,0,6,0,0,0,0,0
Hot Pepper Relish**,Condiments,14,<5,0,0,0,0,0,170,1,0,0,0,0,20,0,0
Ketchup**,Condiments,21,20,0,0,0,0,0,190,6,0,5,0,2,2,0,0
Pico de Gallo**,Condiments,35,15,0,0,0,0,0,230,3,1,2,0,4,8,0,0
Sauerkraut**,Condiments,37,10,0,0,0,0,0,200,2,1,0,0,0,10,2,2
Savory Caesar**,Condiments,21,130,120,14,2.5,0,10,220,1,0,1,1,0,0,2,0
Signature Horseradish Sauce**,Condiments,21,110,100,11,2,0,5,210,3,0,2,0,0,0,0,0
Smokey Hickory Sauce**,Condiments,21,50,30,3,0.5,0,10,170,7,0,5,0,2,0,0,0
Sweet Chili Sauce**,Condiments,21,30,0,0,0,0,0,160,9,0,8,0,0,2,0,0
Sweet Potato Curry**,Condiments,21,70,60,7,1,0,0,210,2,0,1,0,8,2,0,0
Thousand Island Dressing**,Condiments,21,80,60,7,1,0,10,150,3,0,2,0,0,0,0,0
Tzatziki Sauce**,Condiments,21,110,110,12,2,0,10,130,1,0,0,0,0,0,0,0
Banana Peppers (3 rings),Vegetables,4,<5,0,0,0,0,0,60,0,0,0,0,0,6,0,0
Cucumbers (3 slices),Vegetables,17,<5,0,0,0,0,0,0,<1,0,0,0,0,0,0,0
Green Peppers (3 strips),Vegetables,7,<5,0,0,0,0,0,0,0,0,0,0,0,10,0,0
Jalapeno Peppers (3 rings),Vegetables,4,<5,0,0,0,0,0,70,0,0,0,0,0,4,0,0
Lettuce,Vegetables,21,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Onions,Vegetables,7,<5,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Pickles (3 chips),Vegetables,9,<5,0,0,0,0,0,115,0,0,0,0,0,0,0,0
Olives (3 rings),Vegetables,3,<5,0,0,0,0,0,25,0,0,0,0,0,0,0,0
Spinach,Vegetables,7,<5,0,0,0,0,0,15,0,0,0,0,15,3,1,4
Tomatoes (3 wheels),Vegetables,34,5,0,0,0,0,0,0,2,0,0,0,4,10,0,0
Avocado**,Vegetables,35,60,50,5,1,0,0,0,3,2,0,1,0,180,0,0
Carrots**,Vegetables,14,5,0,0,0,0,0,10,1,0,1,0,35,0,0,0
Fresh-Made Dill Pickles**,Vegetables,16,5,0,0,0,0,0,120,1,0,0,0,0,0,0,0
Green Chiles**,Vegetables,14,<5,0,0,0,0,0,60,1,0,0,0,0,8,0,0
Mushrooms**,Vegetables,28,5,0,0,0,0,0,80,1,0,0,0,0,0,0,0
Sweet Peppers**,Vegetables,14,15,0,0,0,0,0,170,3,0,3,0,0,10,0,0
American,Cheese,11,40,30,3.5,2,0,10,200,1,0,0,2,4,0,6,0
"Monterey Cheddar, Shredded",Cheese,14,50,40,4.5,3,0,15,90,0,0,0,3,4,0,10,0
Cheddar**,Cheese,14,60,40,4.5,2.5,0,15,90,0,0,0,4,4,0,10,0
Feta**,Cheese,14,35,15,2,1.5,0,5,160,0,0,0,2,2,0,2,0
"Mozzarella, Shredded**",Cheese,14,40,25,3,2,0,10,100,0,0,0,3,2,0,8,0
Parmesan**,Cheese,1,5,5,0.5,0.5,0,0,30,0,0,0,1,0,0,2,0
Pepperjack**,Cheese,14,50,35,4,2.5,0,15,140,0,0,0,3,4,4,10,0
Provolone**,Cheese,14,50,35,4,2,0,10,120,0,0,0,4,2,0,10,0
Swiss**,Cheese,14,50,40,4.5,2.5,0,15,30,0,0,0,4,2,0,15,0
"Chicken Patty, Roasted",Meat,71,90,20,2.5,1,0,45,330,2,0,1,15,0,10,0,0
Chicken Strips,Meat,71,80,15,1.5,1,0,50,210,0,0,0,16,0,4,2,2
"Chicken Strips, Teriyaki Glazed",Meat,85,100,15,2,1,0,50,400,5,0,2,16,2,8,2,2
Cold Cut Combo Meats,Meat,64,130,85,9.5,3,1,45,750,2,0,1,9,0,2,4,6
Egg Patty (regular),Meat,85,120,65,7,2,0,160,410,3,0,0,9,8,0,6,2
Egg Patty (white),Meat,85,80,20,2,1,0,0,440,3,0,0,11,0,0,2,4
Ham,Meat,57,60,15,2,1,0,25,520,2,0,2,9,0,0,0,2
Italian B.M.T.® Meats,Meat,64,180,125,14,6,1,45,990,2,0,2,11,0,0,0,2
Meatballs,Meat,139,260,140,15.5,6,1,40,720,16,3,6,13,16,14,6,8
Roast Beef,Meat,71,90,20,2.5,1,0,45,390,1,0,1,16,0,0,0,8
Rotisserie-Style Chicken,Meat,85,120,30,3.5,1,0,55,270,1,0,0,21,0,0,2,4
Steak (no cheese),Meat,71,110,35,4,2,1,40,550,4,0,2,15,0,2,0,8
Subway Club® Meats,Meat,78,90,20,2.5,1,0,40,560,2,0,1,15,0,0,0,6
Tuna,Meat,74,250,205,23,4,1,40,300,0,0,0,12,0,0,0,6
Turkey Breast,Meat,57,50,10,1,0.5,0,20,480,2,0,1,9,0,0,0,2
Angus Steak Patty**,Meat,64,180,130,14,7,1,40,300,0,0,0,13,0,0,2,10
BBQ Pulled Pork**,Meat,113,200,60,6,1.5,0,45,700,18,0,18,15,0,6,2,2
BBQ Rib Patty**,Meat,78,260,200,22,7.5,0,45,470,4,0,3,12,0,0,2,4
Carved Turkey**,Meat,85,110,20,3,0,0,45,610,1,0,1,17,0,0,0,4
Chicken Enchilada**,Meat,85,120,40,4,1,0,0,410,7,1,2,12,2,6,2,6
Chicken Salad (not Orchard)**,Meat,85,140,70,8,1.5,0,45,380,7,1,5,11,2,0,2,2
"Chicken Strips, Buffalo Chicken**",Meat,85,90,20,2,0.5,0,50,620,1,0,0,16,4,4,2,4
Corned Beef,Meat,99,150,30,3,1,0,65,1070,4,0,4,26,0,0,0,8
Egg Salad**,Meat,85,250,210,23,5,0,220,170,1,0,1,8,8,0,2,8
Falafel**,Meat,85,200,50,6,1,0,0,600,28,8,1,9,0,0,0,4
Orchard Chicken Salad**,Meat,85,180,90,11,2,0,40,230,10,1,8,12,0,0,2,4
Pastrami**,Meat,57,150,100,11,4.5,0,40,490,1,0,1,9,0,15,0,4
Seafood Sensation**,Meat,71,190,150,17,2.5,0,15,500,8,0,2,4,0,0,4,2
"Sausage, Breakfast**",Meat,57,140,100,11,4.5,0,35,520,1,0,1,10,2,0,0,4
Veggie Patty**,Meat,85,160,50,5,0.5,0,10,520,12,3,2,15,6,0,2,0
